feature,importance
cat__Sex_male,2.6190610138816
cat__Sex_female,2.600554279353819
cat__Title_Mr,1.86157877415586
cat__Title_Miss,1.3545503750273065
cat__Title_Mrs,1.1850063402006448
cat__Title_Master,0.49133479159962545
cat__Title_Rare,0.20514988400024758
cat__Embarked_Q,0.145215094226983
num__FareLog,0.13702558403541334
num__IsAlone,0.12320890607977614
cat__Embarked_S,0.10354037127922174
num__SibSp,0.07671568223624399
cat__Embarked_C,0.06018145747554254
cat__Deck_C,0.04385426597474538
cat__Deck_E,0.043029527486302184
